2023-11-27 07:42:28 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2023-11-27 07:42:28 [main] INFO  c.w.L.LoginModuleApplication - Starting LoginModuleApplication using Java 17.0.8 with PID 21168 (C:\Users\a0p09kj\Downloads\LoginModule\LoginModule\target\classes started by a0p09kj in C:\Users\a0p09kj\Downloads\LoginModule\LoginModule)
2023-11-27 07:42:28 [main] INFO  c.w.L.LoginModuleApplication - No active profile set, falling back to 1 default profile: "default"
2023-11-27 07:42:29 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2023-11-27 07:42:29 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 70 ms. Found 2 MongoDB repository interfaces.
2023-11-27 07:42:29 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8181 (http)
2023-11-27 07:42:29 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8181"]
2023-11-27 07:42:29 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-11-27 07:42:29 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.15]
2023-11-27 07:42:30 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-11-27 07:42:30 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1374 ms
2023-11-27 07:42:30 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.9.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.8+9-LTS-211"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='arunbalaji5005', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@29896529, com.mongodb.Jep395RecordCodecProvider@e29f4f6]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.g4gimeb.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-wdvewl-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
2023-11-27 07:42:30 [cluster-ClusterId{value='6563fb0e1573d721b2272901', description='null'}-srv-cluster0.g4gimeb.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-kz6jkjd-shard-00-01.g4gimeb.mongodb.net:27017 to client view of cluster
2023-11-27 07:42:30 [cluster-ClusterId{value='6563fb0e1573d721b2272901', description='null'}-srv-cluster0.g4gimeb.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-kz6jkjd-shard-00-02.g4gimeb.mongodb.net:27017 to client view of cluster
2023-11-27 07:42:30 [cluster-ClusterId{value='6563fb0e1573d721b2272901', description='null'}-srv-cluster0.g4gimeb.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-kz6jkjd-shard-00-00.g4gimeb.mongodb.net:27017 to client view of cluster
2023-11-27 07:42:30 [cluster-ClusterId{value='6563fb0e1573d721b2272901', description='null'}-ac-kz6jkjd-shard-00-00.g4gimeb.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-kz6jkjd-shard-00-00.g4gimeb.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=17, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=256679900, setName='atlas-wdvewl-shard-0', canonicalAddress=ac-kz6jkjd-shard-00-00.g4gimeb.mongodb.net:27017, hosts=[ac-kz6jkjd-shard-00-00.g4gimeb.mongodb.net:27017, ac-kz6jkjd-shard-00-01.g4gimeb.mongodb.net:27017, ac-kz6jkjd-shard-00-02.g4gimeb.mongodb.net:27017], passives=[], arbiters=[], primary='ac-kz6jkjd-shard-00-02.g4gimeb.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='1'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AZURE'}, Tag{name='region', value='INDIA_CENTRAL'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=2, topologyVersion=TopologyVersion{processId=655e6cc08c919af55e363903, counter=4}, lastWriteDate=Mon Nov 27 07:42:30 IST 2023, lastUpdateTimeNanos=10464319356600}
2023-11-27 07:42:30 [cluster-ClusterId{value='6563fb0e1573d721b2272901', description='null'}-ac-kz6jkjd-shard-00-01.g4gimeb.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-kz6jkjd-shard-00-01.g4gimeb.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=17, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=258195600, setName='atlas-wdvewl-shard-0', canonicalAddress=ac-kz6jkjd-shard-00-01.g4gimeb.mongodb.net:27017, hosts=[ac-kz6jkjd-shard-00-00.g4gimeb.mongodb.net:27017, ac-kz6jkjd-shard-00-01.g4gimeb.mongodb.net:27017, ac-kz6jkjd-shard-00-02.g4gimeb.mongodb.net:27017], passives=[], arbiters=[], primary='ac-kz6jkjd-shard-00-02.g4gimeb.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='2'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AZURE'}, Tag{name='region', value='INDIA_CENTRAL'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=2, topologyVersion=TopologyVersion{processId=655e6ed930aeb93b0a77b187, counter=3}, lastWriteDate=Mon Nov 27 07:42:30 IST 2023, lastUpdateTimeNanos=10464319356700}
2023-11-27 07:42:30 [cluster-ClusterId{value='6563fb0e1573d721b2272901', description='null'}-ac-kz6jkjd-shard-00-02.g4gimeb.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-kz6jkjd-shard-00-02.g4gimeb.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=17, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=259610300, setName='atlas-wdvewl-shard-0', canonicalAddress=ac-kz6jkjd-shard-00-02.g4gimeb.mongodb.net:27017, hosts=[ac-kz6jkjd-shard-00-00.g4gimeb.mongodb.net:27017, ac-kz6jkjd-shard-00-01.g4gimeb.mongodb.net:27017, ac-kz6jkjd-shard-00-02.g4gimeb.mongodb.net:27017], passives=[], arbiters=[], primary='ac-kz6jkjd-shard-00-02.g4gimeb.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='3'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AZURE'}, Tag{name='region', value='INDIA_CENTRAL'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000003a, setVersion=2, topologyVersion=TopologyVersion{processId=655e6ddfa295a79cd826898d, counter=6}, lastWriteDate=Mon Nov 27 07:42:30 IST 2023, lastUpdateTimeNanos=10464319356700}
2023-11-27 07:42:30 [cluster-ClusterId{value='6563fb0e1573d721b2272901', description='null'}-ac-kz6jkjd-shard-00-02.g4gimeb.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-kz6jkjd-shard-00-02.g4gimeb.mongodb.net:27017 with max election id 7fffffff000000000000003a and max set version 2
2023-11-27 07:42:31 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3a16984c, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3db1ce78, org.springframework.security.web.context.SecurityContextHolderFilter@2ef041bb, org.springframework.security.web.header.HeaderWriterFilter@7b44bfb8, org.springframework.security.web.authentication.logout.LogoutFilter@1a17dd6f, com.walmart.LoginModule.security.jwt.AuthTokenFilter@2726a511, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@605c7a9e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@d16209e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3a3ad8e7, org.springframework.security.web.session.SessionManagementFilter@48a46b0f, org.springframework.security.web.access.ExceptionTranslationFilter@2a6fb62f, org.springframework.security.web.access.intercept.AuthorizationFilter@41e8d917]
2023-11-27 07:42:31 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8181"]
2023-11-27 07:42:31 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8181 (http) with context path ''
2023-11-27 07:42:31 [main] INFO  c.w.L.LoginModuleApplication - Started LoginModuleApplication in 3.378 seconds (process running for 4.318)
2023-11-27 07:44:17 [http-nio-8181-exec-3] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-27 07:44:17 [http-nio-8181-exec-3] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-11-27 07:44:17 [http-nio-8181-exec-3] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2023-11-27 07:44:17 [http-nio-8181-exec-3] ERROR c.w.L.security.jwt.JwtUtils - JWT token is expired: JWT expired 37491555 milliseconds ago at 2023-11-26T15:49:26.000Z. Current time: 2023-11-27T02:14:17.555Z. Allowed clock skew: 0 milliseconds.
2023-11-27 07:44:18 [http-nio-8181-exec-3] INFO  c.w.L.controllers.AuthController - Login successful !!
2023-11-27 13:41:19 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2023-11-27 13:41:19 [main] INFO  c.w.L.LoginModuleApplication - Starting LoginModuleApplication using Java 17.0.8 with PID 29296 (C:\Users\a0p09kj\Downloads\LoginModule\LoginModule\target\classes started by a0p09kj in C:\Users\a0p09kj\Downloads\LoginModule\LoginModule)
2023-11-27 13:41:19 [main] INFO  c.w.L.LoginModuleApplication - No active profile set, falling back to 1 default profile: "default"
2023-11-27 13:41:21 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2023-11-27 13:41:21 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 295 ms. Found 2 MongoDB repository interfaces.
2023-11-27 13:41:24 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8181 (http)
2023-11-27 13:41:24 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8181"]
2023-11-27 13:41:24 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-11-27 13:41:24 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.15]
2023-11-27 13:41:24 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-11-27 13:41:24 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5254 ms
2023-11-27 13:41:25 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.9.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.8+9-LTS-211"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='arunbalaji5005', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@29896529, com.mongodb.Jep395RecordCodecProvider@e29f4f6]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.g4gimeb.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-wdvewl-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
2023-11-27 13:41:25 [cluster-ClusterId{value='65644f2d07291b146eba9093', description='null'}-srv-cluster0.g4gimeb.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-kz6jkjd-shard-00-01.g4gimeb.mongodb.net:27017 to client view of cluster
2023-11-27 13:41:26 [cluster-ClusterId{value='65644f2d07291b146eba9093', description='null'}-srv-cluster0.g4gimeb.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-kz6jkjd-shard-00-02.g4gimeb.mongodb.net:27017 to client view of cluster
2023-11-27 13:41:26 [cluster-ClusterId{value='65644f2d07291b146eba9093', description='null'}-srv-cluster0.g4gimeb.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-kz6jkjd-shard-00-00.g4gimeb.mongodb.net:27017 to client view of cluster
2023-11-27 13:41:27 [cluster-ClusterId{value='65644f2d07291b146eba9093', description='null'}-ac-kz6jkjd-shard-00-02.g4gimeb.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-kz6jkjd-shard-00-02.g4gimeb.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=17, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=669628900, setName='atlas-wdvewl-shard-0', canonicalAddress=ac-kz6jkjd-shard-00-02.g4gimeb.mongodb.net:27017, hosts=[ac-kz6jkjd-shard-00-00.g4gimeb.mongodb.net:27017, ac-kz6jkjd-shard-00-01.g4gimeb.mongodb.net:27017, ac-kz6jkjd-shard-00-02.g4gimeb.mongodb.net:27017], passives=[], arbiters=[], primary='ac-kz6jkjd-shard-00-02.g4gimeb.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='3'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AZURE'}, Tag{name='region', value='INDIA_CENTRAL'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000003a, setVersion=2, topologyVersion=TopologyVersion{processId=655e6ddfa295a79cd826898d, counter=6}, lastWriteDate=Mon Nov 27 13:41:27 IST 2023, lastUpdateTimeNanos=32001024695200}
2023-11-27 13:41:27 [cluster-ClusterId{value='65644f2d07291b146eba9093', description='null'}-ac-kz6jkjd-shard-00-00.g4gimeb.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-kz6jkjd-shard-00-00.g4gimeb.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=17, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=669633700, setName='atlas-wdvewl-shard-0', canonicalAddress=ac-kz6jkjd-shard-00-00.g4gimeb.mongodb.net:27017, hosts=[ac-kz6jkjd-shard-00-00.g4gimeb.mongodb.net:27017, ac-kz6jkjd-shard-00-01.g4gimeb.mongodb.net:27017, ac-kz6jkjd-shard-00-02.g4gimeb.mongodb.net:27017], passives=[], arbiters=[], primary='ac-kz6jkjd-shard-00-02.g4gimeb.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='1'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AZURE'}, Tag{name='region', value='INDIA_CENTRAL'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=2, topologyVersion=TopologyVersion{processId=655e6cc08c919af55e363903, counter=4}, lastWriteDate=Mon Nov 27 13:41:27 IST 2023, lastUpdateTimeNanos=32001024695400}
